variable,setting,repeat,seed,operations,warmup_operations,keys,read_percent,write_percent,delete_percent,key_distribution,zipf_theta,min_value_size,max_value_size,sync_mode,sync_interval,memory_budget_bytes,memtable_size_bytes,block_cache_capacity_bytes,bloom_bits_per_key,bloom_hash_count,bloom_memory_bytes,total_memory_bytes,reads,writes,deletes,elapsed_ns,throughput_ops_per_second,read_p50_ns,read_p99_ns,read_p999_ns,write_p50_ns,write_p99_ns,write_p999_ns,delete_p50_ns,delete_p99_ns,delete_p999_ns,wal_bytes_written,sstable_bytes_written,user_bytes_written,write_amplification,live_data_bytes,sstable_size_bytes,space_amplification,cache_hits,cache_misses,cache_hit_rate,compaction_count,compaction_bytes_read,compaction_bytes_written
memtable,4.0,3,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,4194304,62287622,10,7,626938,67108864,474894,20016,5090,7455799791,67061.88658707775,9235,187985,338922,23255,66553,115581,11655,39993,98605,6198564,6061236,5701534,2.15026342033565,138799152,153772726,1.1078794343066303,209208,47529,0.8148728075812991,0,0,0
memtable,8.0,1,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,8388608,58093302,10,7,626954,67108864,474894,20016,5090,7003918829,71388.60575164441,7599,196948,285803,23275,67351,119532,11566,41591,76137,6198564,18530520,5701534,4.337268531591674,138799152,150281553,1.0827267374083092,186237,48705,0.7926935158464642,1,16187628,12470621
memtable,8.0,2,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,8388608,58093302,10,7,626954,67108864,474894,20016,5090,6967487277,71761.88202747398,7334,192831,281873,23121,63756,121683,11527,35598,74435,6198564,18530520,5701534,4.337268531591674,138799152,150281553,1.0827267374083092,186237,48705,0.7926935158464642,1,16187628,12470621
memtable,8.0,3,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,8388608,58093302,10,7,626954,67108864,474894,20016,5090,6366739556,78533.13232026293,6230,185873,265572,21981,57146,91172,10711,26959,54988,6198564,18530520,5701534,4.337268531591674,138799152,150281553,1.0827267374083092,186237,48705,0.7926935158464642,1,16187628,12470621
memtable,16.0,1,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49704695,10,7,626953,67108864,474894,20016,5090,6362567695,78584.62557387375,6492,186863,264415,22224,49463,82007,10906,29386,57393,6198564,6059899,5701534,2.1500289220409807,138799152,153998307,1.1095046675789488,171356,56269,0.7527995606809446,0,0,0
memtable,16.0,2,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49704695,10,7,626953,67108864,474894,20016,5090,6820833227,73304.82704382358,7301,191995,286407,22971,55594,91226,11585,34330,63586,6198564,6059899,5701534,2.1500289220409807,138799152,153998307,1.1095046675789488,171356,56269,0.7527995606809446,0,0,0
memtable,16.0,3,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,16777216,49704695,10,7,626953,67108864,474894,20016,5090,6494965275,76982.70565426542,6658,191818,273707,22179,52427,86378,10952,30522,56935,6198564,6059899,5701534,2.1500289220409807,138799152,153998307,1.1095046675789488,171356,56269,0.7527995606809446,0,0,0
memtable,32.0,1,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,33554432,32927479,10,7,626953,67108864,474894,20016,5090,6433281319,77720.8356369096,6630,187978,262776,22370,50413,88476,10903,27558,50562,6198564,6059899,5701534,2.1500289220409807,138799152,153998207,1.109503947113452,148314,77155,0.6578021812311227,0,0,0
memtable,32.0,2,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,33554432,32927479,10,7,626953,67108864,474894,20016,5090,6903304112,72429.08495525367,7291,196674,293453,23079,55033,88652,11519,34924,66342,6198564,6059899,5701534,2.1500289220409807,138799152,153998207,1.109503947113452,148314,77155,0.6578021812311227,0,0,0
memtable,32.0,3,42,500000,50000,500000,95,4,1,zipfian,0.99,256,256,off,1,67108864,33554432,32927479,10,7,626953,67108864,474894,20016,5090,6374888408,78432.74548500928,6612,186154,263376,22297,51415,84045,10905,28260,56302,6198564,6059899,5701534,2.1500289220409807,138799152,153998207,1.109503947113452,148314,77155,0.6578021812311227,0,0,0
